Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR23609082_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0004896608119555584)	(4, 0.0004896608119555584)	(5, 0.0004896608119555584)	(6, 0.0004896608119555584)	(7, 0.0004896608119555584)	(8, 0.0004896608119555584)	(9, 0.0004896608119555584)	(10, 0.00905872502117783)	(12, 0.016648467606488984)	(14, 0.02203473653800013)	(16, 0.02766583587548905)	(18, 0.03329693521297797)	(20, 0.040152186580355784)	(22, 0.04774192916566694)	(24, 0.06169726230640035)	(26, 0.07491810422920044)	(28, 0.11286681715575621)	(30, 0.17211577540237877)	(32, 0.31142427640373516)	(34, 0.5782894189195145)	(36, 1.167596206108029)	(38, 2.4786630301190367)	(40, 3.6418522889194653)	(42, 4.600608158728448)	(44, 5.96211004637088)	(46, 7.4029369855501095)	(48, 8.922599315454185)	(50, 10.52060737527115)	(52, 12.260372240149248)	(54, 13.752123903771857)	(56, 15.105056727205065)	(58, 16.715795968132873)	(60, 18.29397276506564)	(62, 20.200711966820585)	(64, 22.36746105972393)	(66, 23.930458371486072)	(68, 25.63251935384359)	(70, 27.106643228235804)	(72, 28.52151814438139)	(74, 30.0661531756952)	(76, 31.473928010067425)	(78, 33.21442736616346)	(80, 34.96398544728067)	(82, 36.43664033923701)	(84, 37.254863556014755)	(86, 38.27335804488231)	(88, 39.54843479921459)	(90, 41.150360145527195)	(92, 43.16188676104063)	(94, 44.2474647811461)	(96, 45.57444558154566)	(98, 46.86372249942465)	(100, 48.017118541985965)	(102, 49.62369566601215)	(104, 50.9509212968177)	(106, 52.201515010552185)	(108, 53.44060169520573)	(110, 54.68776778325653)	(112, 55.6621927990481)	(114, 56.729898199517194)	(116, 57.78119996278578)	(118, 58.641289178985716)	(120, 59.674473492211945)	(122, 60.51717974958746)	(124, 61.63385123125211)	(126, 62.66997350935007)	(128, 63.65737453665846)	(130, 64.70353486140151)	(132, 65.44047438339462)	(134, 66.79561068048163)	(136, 67.81141203488343)	(138, 68.64089745033615)
SRR23609082_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0004896608119555584)	(4, 0.0004896608119555584)	(5, 0.0004896608119555584)	(6, 0.0004896608119555584)	(7, 0.0004896608119555584)	(8, 0.0004896608119555584)	(9, 0.0004896608119555584)	(10, 0.007100081773355596)	(12, 0.014444993952688973)	(14, 0.019831262884200115)	(16, 0.02399337978582236)	(18, 0.028400327093422384)	(20, 0.034765917648844645)	(22, 0.04211082982817802)	(24, 0.05631099337488922)	(26, 0.06977666570366707)	(28, 0.10845986984815618)	(30, 0.1681984889067343)	(32, 0.306038007472224)	(34, 0.5719238283640922)	(36, 1.1578029898689177)	(38, 2.4576076152049477)	(40, 3.6088001841124653)	(42, 4.563883597831782)	(44, 5.920978538166612)	(46, 7.348584635423043)	(48, 8.86016756192985)	(50, 10.444220288606083)	(52, 12.165622873035847)	(54, 13.643419203517723)	(56, 14.983620845840086)	(58, 16.587994496212474)	(60, 18.15711256812406)	(62, 20.05577236648174)	(64, 22.19999706203513)	(66, 23.754670139994026)	(68, 25.447917227736347)	(70, 26.916654833197043)	(72, 28.32271585472743)	(74, 29.87616478065644)	(76, 31.283205123810735)	(78, 33.02345964950079)	(80, 34.77620052589572)	(82, 36.26232109018083)	(84, 37.079564985334656)	(86, 38.09879396542016)	(88, 39.37656385421818)	(90, 40.98803758636393)	(92, 43.00323665796702)	(94, 44.09248713416217)	(96, 45.42118174740358)	(98, 46.715844934214076)	(100, 47.87413758489494)	(102, 49.4853664866347)	(104, 50.81381626947014)	(106, 52.06612379604648)	(108, 53.30912776719566)	(110, 54.556783516058424)	(112, 55.531943023067925)	(114, 56.598913932319086)	(116, 57.646543239498)	(118, 58.50932559016369)	(120, 59.54250990338992)	(122, 60.387909295231196)	(124, 61.51070153704529)	(126, 62.55098593204487)	(128, 63.546221532344546)	(130, 64.58797490978)	(132, 65.32662824461495)	(134, 66.68764047144543)	(136, 67.705890129907)	(138, 68.54100664469722)
SRR23609083_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0007078543518885555)	(8, 0.001415708703777111)	(9, 0.002831417407554222)	(10, 0.015926722917492496)	(12, 0.025128829492043717)	(14, 0.031499518659040715)	(16, 0.038931989353870544)	(18, 0.048841950280310326)	(20, 0.05981369273458293)	(22, 0.06583045472563565)	(24, 0.0792796874115182)	(26, 0.09449855597712215)	(28, 0.15289654000792796)	(30, 0.2272212469562263)	(32, 0.39887592728920096)	(34, 0.7082082790644997)	(36, 1.4199558298884423)	(38, 2.7047114785661703)	(40, 3.9590293901126907)	(42, 4.95675009909961)	(44, 6.429441078203748)	(46, 8.127229741208449)	(48, 9.674953281612776)	(50, 11.290984766974347)	(52, 13.102384053457161)	(54, 14.650815448213375)	(56, 16.185443683107763)	(58, 17.820941163146273)	(60, 19.4582082790645)	(62, 21.352426524718275)	(64, 23.54889857862846)	(66, 25.087773939634182)	(68, 26.627711082167735)	(70, 27.918483492836515)	(72, 29.356489608698112)	(74, 31.030211223738604)	(76, 32.35425278894615)	(78, 34.05982784982162)	(80, 35.803980972875024)	(82, 37.33967098929725)	(84, 38.22094965739849)	(86, 39.24627668610907)	(88, 40.46838722464466)	(90, 41.933645733053964)	(92, 43.9227164618608)	(94, 45.06236196840138)	(96, 46.34393227249561)	(98, 47.59577269381052)	(100, 48.66392491081035)	(102, 50.31499518659041)	(104, 51.747692394812844)	(106, 52.963786171357384)	(108, 54.092459935443685)	(110, 55.29298091624668)	(112, 56.19230987032108)	(114, 57.310719746305)	(116, 58.44080921909508)	(118, 59.293773713120785)	(120, 60.379268361741886)	(122, 61.275058044056856)	(124, 62.47133189874852)	(126, 63.391188629027695)	(128, 64.30325896143609)	(130, 65.24081205051249)	(132, 65.90265586952829)	(134, 67.27129225890481)	(136, 68.24034486664024)	(138, 69.00482756667988)
SRR23609083_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0007078543518885555)	(8, 0.001415708703777111)	(9, 0.002831417407554222)	(10, 0.014511014213715385)	(12, 0.02300526643637805)	(14, 0.028314174075542216)	(16, 0.03503879041848349)	(18, 0.04530267852086754)	(20, 0.05698227532702871)	(22, 0.06299903731808143)	(24, 0.07538648847613115)	(26, 0.09060535704173509)	(28, 0.14652585084093095)	(30, 0.21978877626139645)	(32, 0.390027747890594)	(34, 0.6961747550823942)	(36, 1.3987201993317855)	(38, 2.6806444306019594)	(40, 3.931776997564981)	(42, 4.923480944560847)	(44, 6.395110142137154)	(46, 8.080511353983805)	(48, 9.615139588878193)	(50, 11.212766861090662)	(52, 13.013902259471092)	(54, 14.558086528115975)	(56, 16.087051928195255)	(58, 17.716886573418655)	(60, 19.350260490401496)	(62, 21.23881590124016)	(64, 23.412636615889916)	(66, 24.939124525737583)	(68, 26.47693810521547)	(70, 27.766294807180472)	(72, 29.203593068690186)	(74, 30.89005606206467)	(76, 32.20772693810521)	(78, 33.91400985333258)	(80, 35.67055042754403)	(82, 37.2154425505408)	(84, 38.09742907299394)	(86, 39.12806500934368)	(88, 40.35477660116654)	(90, 41.825344017215016)	(92, 43.81936972648508)	(94, 44.9593691602016)	(96, 46.2455405175831)	(98, 47.50162806500934)	(100, 48.57331955376861)	(102, 50.22368197519678)	(104, 51.65000849425222)	(106, 52.87070332408403)	(108, 54.00680955886517)	(110, 55.21016195707571)	(112, 56.10099665892746)	(114, 57.21728297185571)	(116, 58.35161957075712)	(118, 59.204230137606885)	(120, 60.29007871340393)	(122, 61.1890537403024)	(124, 62.39594541027238)	(126, 63.324650319950166)	(128, 64.24309134152557)	(130, 65.18949261000057)	(132, 65.85452177359986)	(134, 67.22386601732828)	(136, 68.19751967835099)	(138, 68.96695735885385)
SRR23609084_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0016345388965772756)	(12, 0.0016345388965772756)	(14, 0.0021793851954363674)	(16, 0.003269077793154551)	(18, 0.003541500942584097)	(20, 0.0059933092874500105)	(22, 0.007627848184027286)	(24, 0.009262387080604562)	(26, 0.013076311172618205)	(28, 0.053939783587050094)	(30, 0.12558707188702067)	(32, 0.27678191982041866)	(34, 0.4982619403066395)	(36, 1.1455393433512406)	(38, 2.1488738027002583)	(40, 3.215138009567501)	(42, 4.0661879283854026)	(44, 5.244418049668189)	(46, 6.379605313341107)	(48, 7.537403698416677)	(50, 8.764942409746212)	(52, 10.009371356340377)	(54, 11.377752835924985)	(56, 12.861914154017152)	(58, 14.272521221763341)	(60, 15.69565975438329)	(62, 16.77854177336573)	(64, 18.366223888241127)	(66, 19.816332312654602)	(68, 21.020442633133193)	(70, 22.105231614161646)	(72, 23.29708289291591)	(74, 24.642035981649578)	(76, 26.099227407948216)	(78, 27.535442251740783)	(80, 28.517255282284868)	(82, 29.571260447427782)	(84, 30.703451056456974)	(86, 32.1042508908237)	(88, 33.52766184659308)	(90, 34.767187176497515)	(92, 36.48890148089224)	(94, 37.91176759036276)	(96, 39.003911996425806)	(98, 40.21565016508843)	(100, 41.378897013152596)	(102, 42.963582473384264)	(104, 44.46245464154562)	(106, 45.532260349355454)	(108, 46.753533328248096)	(110, 47.83832230927655)	(112, 48.759384977497845)	(114, 49.60144493238458)	(116, 50.42470768996066)	(118, 51.48606828013817)	(120, 52.629428238293976)	(122, 53.98990944654513)	(124, 54.74751822510869)	(126, 55.466170493303835)	(128, 56.108271856509276)	(130, 56.802950887554616)	(132, 57.87820505835303)	(134, 58.6126578692151)	(136, 59.362638799594635)	(138, 60.120792424457065)
SRR23609084_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0010896925977181837)	(12, 0.0010896925977181837)	(14, 0.0010896925977181837)	(16, 0.0016345388965772756)	(18, 0.0016345388965772756)	(20, 0.003813924092013643)	(22, 0.005448462988590919)	(24, 0.006810578735738648)	(26, 0.010352079678322745)	(28, 0.049853436345606905)	(30, 0.1204110320478593)	(32, 0.2705161873835391)	(34, 0.4906340921226122)	(36, 1.1376390720177838)	(38, 2.128169643343613)	(40, 3.1829920779348146)	(42, 4.03186261155728)	(44, 5.209275463391777)	(46, 6.346097265961273)	(48, 7.4998093037953995)	(50, 8.72380651418235)	(52, 9.95951791999477)	(54, 11.31536793470562)	(56, 12.793808366659764)	(58, 14.193246085279343)	(60, 15.601401344680665)	(62, 16.6731140145365)	(64, 18.247174971940417)	(66, 19.692107356514725)	(68, 20.89240375290131)	(70, 21.97092700149288)	(72, 23.156512547810262)	(74, 24.507186522681952)	(76, 25.969826411969184)	(78, 27.409037910405473)	(80, 28.39602698078872)	(82, 29.453846070023644)	(84, 30.59230241148972)	(86, 31.99310224585644)	(88, 33.421961664614415)	(90, 34.666935457507435)	(92, 36.389194608201024)	(94, 37.81669191121185)	(96, 38.91319508766577)	(98, 40.126022948926106)	(100, 41.28926979699027)	(102, 42.868234371083915)	(104, 44.36656169294642)	(106, 45.43990890169883)	(108, 46.66308884263749)	(110, 47.7530538635051)	(112, 48.679564994714994)	(114, 49.52489402739487)	(116, 50.35523978685613)	(118, 51.41959703167736)	(120, 52.57003999171834)	(122, 53.937604201854654)	(124, 54.69357844152165)	(126, 55.414137671762795)	(128, 56.0559666118188)	(130, 56.75255260491015)	(132, 57.83325523869716)	(134, 58.57015985790409)	(136, 59.32068563458249)	(138, 60.08047379834149)
SRR23609085_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.007575538945484979)	(12, 0.015511817840754956)	(14, 0.019119217338604944)	(16, 0.023808836685809933)	(18, 0.030662895731724912)	(20, 0.03390955527978991)	(22, 0.038959914576779886)	(24, 0.049060633170759864)	(26, 0.058439871865169836)	(28, 0.07214798995699981)	(30, 0.10064644599001471)	(32, 0.16161149750367954)	(34, 0.27055496233874926)	(36, 0.7640472136446279)	(38, 1.441156099391071)	(40, 2.1821159562494588)	(42, 2.763268015353092)	(44, 3.5590603445788)	(46, 4.337176416265043)	(48, 5.220628553288505)	(50, 6.297798043346512)	(52, 7.3854289919482845)	(54, 8.654872875241697)	(56, 9.781102998470462)	(58, 10.91743384029321)	(60, 12.452382326628381)	(62, 13.412311333006262)	(64, 14.934994661048744)	(66, 16.554717035583387)	(68, 17.88765115003896)	(70, 19.005584254422672)	(72, 20.143718795994346)	(74, 21.478817350148624)	(76, 23.31354073475513)	(78, 25.084413148249688)	(80, 25.98229488326455)	(82, 26.980101584369862)	(84, 27.937505411099245)	(86, 29.497705693919368)	(88, 31.21843525439381)	(90, 32.45396958240744)	(92, 34.43226746702837)	(94, 36.08878531644108)	(96, 37.172448125595224)	(98, 38.27017979279097)	(100, 39.265100574298)	(102, 40.871475570690606)	(104, 42.500937923869444)	(106, 43.560070416438194)	(108, 44.89192231104441)	(110, 46.13286773830481)	(112, 47.21797350725809)	(114, 48.14723961790425)	(116, 49.05125393206545)	(118, 50.16413667715217)	(120, 51.540359585581946)	(122, 53.19795965484401)	(124, 53.89346627802949)	(126, 54.79315171279328)	(128, 55.536276009350374)	(130, 56.25342702952295)	(132, 57.40382672938732)	(134, 58.09356151337624)	(136, 58.83848950968226)	(138, 59.70210094946755)
SRR23609085_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.006493319096129982)	(12, 0.014068858041614962)	(14, 0.017676257539464953)	(16, 0.02236587688666994)	(18, 0.029219935932584918)	(20, 0.03246659548064991)	(22, 0.037516954777639895)	(24, 0.04725693342183487)	(26, 0.056275432166459846)	(28, 0.06962281030850481)	(30, 0.09884274624108971)	(32, 0.15800409800582954)	(34, 0.26478312314218927)	(36, 0.7503390955527979)	(38, 1.420593922253326)	(40, 2.157585639664079)	(42, 2.734048079420507)	(44, 3.5219041297509452)	(46, 4.297855761738478)	(48, 5.17697901936452)	(50, 6.240801131280483)	(52, 7.317609881388704)	(54, 8.577674525987707)	(56, 9.694886150471849)	(58, 10.824723673198465)	(60, 12.349210700989872)	(62, 13.301564168422267)	(64, 14.813064558021413)	(66, 16.43278693255606)	(68, 17.757424028166575)	(70, 18.863813454157167)	(72, 19.98751839773744)	(74, 21.325863611439786)	(76, 23.16347291564457)	(78, 24.93939568843612)	(80, 25.843410002597327)	(82, 26.847710022798765)	(84, 27.811246428674497)	(86, 29.379743730339673)	(88, 31.107327349860032)	(90, 32.34827277712043)	(92, 34.33703212028513)	(94, 35.99896106894462)	(96, 37.08009869845026)	(98, 38.178551845545584)	(100, 39.17491558685175)	(102, 40.77587948399757)	(104, 42.397766298230934)	(106, 43.44968399180399)	(108, 44.788029205506334)	(110, 46.03149981241523)	(112, 47.12093446076592)	(114, 48.05164353121122)	(116, 48.96215116446855)	(118, 50.07791982915356)	(120, 51.455585697382475)	(122, 53.12148278548959)	(124, 53.818793108424)	(126, 54.722807422585205)	(128, 55.473867998037576)	(130, 56.19318345790886)	(132, 57.34682981732129)	(134, 58.03548238146085)	(136, 58.780049637817086)	(138, 59.64654699720066)
SRR23609086_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0005091183089126251)	(10, 0.0007636774633689377)	(12, 0.0010182366178252502)	(14, 0.0020364732356505004)	(16, 0.003563828162388376)	(18, 0.004836623934669939)	(20, 0.0050911830891262515)	(22, 0.006618538015864126)	(24, 0.008655011251514627)	(26, 0.01196428025944669)	(28, 0.0323290126159517)	(30, 0.1013145434736124)	(32, 0.2151024855155841)	(34, 0.3792931401399057)	(36, 0.9925261432251626)	(38, 1.906648066877781)	(40, 2.8388436904967977)	(42, 3.5457544624219777)	(44, 4.526316325387693)	(46, 5.505350833426672)	(48, 6.557952937103524)	(50, 7.717979003960941)	(52, 8.902697308800619)	(54, 10.307609282245007)	(56, 11.850746876559175)	(58, 13.222566159924243)	(60, 14.783013776741438)	(62, 15.777321834047797)	(64, 17.319950310053052)	(66, 19.093718498304636)	(68, 20.43880907045179)	(70, 21.62072722459245)	(72, 22.740787504200227)	(74, 24.014601513099613)	(76, 25.559775580649433)	(78, 27.145169994603346)	(80, 28.119367878707656)	(82, 29.142441120467574)	(84, 30.365597857630156)	(86, 31.92782738852855)	(88, 33.45314584203077)	(90, 34.59077070329603)	(92, 36.35308372959709)	(94, 37.91505870134102)	(96, 38.98293435428525)	(98, 40.22060096325184)	(100, 41.50026983270372)	(102, 42.98944088627315)	(104, 44.462574713111835)	(106, 45.410807563461596)	(108, 46.60621735278844)	(110, 48.011638444541745)	(112, 49.18057408180513)	(114, 50.01654634503966)	(116, 50.81077090694336)	(118, 51.76994980093474)	(120, 52.900192446720766)	(122, 54.334633282082095)	(124, 54.97994073862884)	(126, 55.76983779490678)	(128, 56.41972731623375)	(130, 57.05154313759431)	(132, 58.155311631316884)	(134, 58.77898155973485)	(136, 59.44363551202028)	(138, 60.14214583184841)
SRR23609086_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0005091183089126251)	(10, 0.0025455915445631258)	(12, 0.0030547098534757506)	(14, 0.004072946471301001)	(16, 0.005600301398038876)	(18, 0.006363978861407814)	(20, 0.006618538015864126)	(22, 0.008400452097058314)	(24, 0.011200602796077753)	(26, 0.015018990112922442)	(28, 0.03538372246942745)	(30, 0.10386013501817552)	(32, 0.2168843995967783)	(34, 0.38056593591218724)	(36, 0.994308057306357)	(38, 1.903338797869849)	(40, 2.8256066144650696)	(42, 3.528189880764492)	(44, 4.504678797258907)	(46, 5.477094767282021)	(48, 6.52511480617866)	(50, 7.675722184321192)	(52, 8.85636754268957)	(54, 10.252369945727988)	(56, 11.79041635695303)	(58, 13.158417253001254)	(60, 14.719373988127362)	(62, 15.701717765174273)	(64, 17.224999745440847)	(66, 18.991640277367654)	(68, 20.33393069881579)	(70, 21.506430164241568)	(72, 22.628781476239446)	(74, 23.900559011903187)	(76, 25.451078821696584)	(78, 27.04130985958517)	(80, 28.021617163396428)	(82, 29.049781588245477)	(84, 30.277774949342728)	(86, 31.846623018256984)	(88, 33.37321426753149)	(90, 34.51262104287794)	(92, 36.280279811422574)	(94, 37.84352757893879)	(96, 38.908603081184005)	(98, 40.148051604231796)	(100, 41.42313840890346)	(102, 42.90976387092832)	(104, 44.37449724566995)	(106, 45.31891170870287)	(108, 46.52094003604557)	(110, 47.936543493977126)	(112, 49.10955207771182)	(114, 49.94654257756417)	(116, 50.73567595637874)	(118, 51.69689132360578)	(120, 52.83451618487104)	(122, 54.27557555824822)	(124, 54.92139213310389)	(126, 55.71638037247095)	(128, 56.36932460365139)	(130, 57.00495881232881)	(132, 58.112545693368226)	(134, 58.73545194432282)	(136, 59.39450559521022)	(138, 60.094288710810616)
